work_id,input_type,status,found_people,image_source
138,PATH,finished,1,/Users/sebastian/ue_programowanie/res/images.jpg
139,PATH,finished,1,/Users/sebastian/ue_programowanie/res/images.jpg
140,PATH,finished,1,/Users/sebastian/ue_programowanie/res/images.jpg
141,PATH,finished,1,/Users/sebastian/ue_programowanie/res/images.jpg
142,PATH,finished,1,/Users/sebastian/ue_programowanie/res/images.jpg
143,PATH,finished,1,/Users/sebastian/ue_programowanie/res/images.jpg
144,PATH,finished,1,/Users/sebastian/ue_programowanie/res/images.jpg
145,PATH,finished,1,/Users/sebastian/ue_programowanie/res/images.jpg
146,PATH,finished,1,/Users/sebastian/ue_programowanie/res/images.jpg
147,PATH,finished,1,/Users/sebastian/ue_programowanie/res/images.jpg
148,PATH,finished,1,/Users/sebastian/ue_programowanie/res/images.jpg
149,PATH,finished,1,/Users/sebastian/ue_programowanie/res/images.jpg
150,PATH,finished,1,/Users/sebastian/ue_programowanie/res/images.jpg
151,PATH,finished,1,/Users/sebastian/ue_programowanie/res/images.jpg
152,PATH,finished,1,/Users/sebastian/ue_programowanie/res/images.jpg
153,PATH,finished,1,/Users/sebastian/ue_programowanie/res/images.jpg
154,PATH,finished,1,/Users/sebastian/ue_programowanie/res/images.jpg
155,PATH,finished,1,/Users/sebastian/ue_programowanie/res/images.jpg
156,PATH,finished,1,/Users/sebastian/ue_programowanie/res/images.jpg
157,PATH,finished,1,/Users/sebastian/ue_programowanie/res/images.jpg
158,PATH,finished,1,/Users/sebastian/ue_programowanie/res/images.jpg
159,PATH,finished,1,/Users/sebastian/ue_programowanie/res/images.jpg
160,PATH,finished,1,/Users/sebastian/ue_programowanie/res/images.jpg
161,PATH,finished,1,/Users/sebastian/ue_programowanie/res/images.jpg
162,PATH,finished,1,/Users/sebastian/ue_programowanie/res/images.jpg
163,PATH,finished,1,/Users/sebastian/ue_programowanie/res/images.jpg
164,PATH,finished,1,/Users/sebastian/ue_programowanie/res/images.jpg
165,PATH,finished,1,/Users/sebastian/ue_programowanie/res/images.jpg
166,PATH,finished,1,/Users/sebastian/ue_programowanie/res/images.jpg
167,PATH,finished,1,/Users/sebastian/ue_programowanie/res/images.jpg
168,PATH,finished,1,/Users/sebastian/ue_programowanie/res/images.jpg
169,PATH,finished,1,/Users/sebastian/ue_programowanie/res/images.jpg
170,PATH,finished,1,/Users/sebastian/ue_programowanie/res/images.jpg
171,PATH,finished,1,/Users/sebastian/ue_programowanie/res/images.jpg
172,PATH,finished,1,/Users/sebastian/ue_programowanie/res/images.jpg
173,PATH,in_progress,,/Users/sebastian/ue_programowanie/res/images.jpg
174,PATH,finished,1,/Users/sebastian/ue_programowanie/res/images.jpg
175,PATH,finished,1,/Users/sebastian/ue_programowanie/res/images.jpg
176,PATH,finished,1,/Users/sebastian/ue_programowanie/res/images.jpg
177,PATH,finished,1,/Users/sebastian/ue_programowanie/res/images.jpg
178,PATH,finished,1,/Users/sebastian/ue_programowanie/res/images.jpg
179,PATH,finished,1,/Users/sebastian/ue_programowanie/res/images.jpg
180,PATH,finished,1,/Users/sebastian/ue_programowanie/res/images.jpg
181,PATH,finished,1,/Users/sebastian/ue_programowanie/res/images.jpg
182,PATH,finished,1,/Users/sebastian/ue_programowanie/res/images.jpg
183,PATH,finished,1,/Users/sebastian/ue_programowanie/res/images.jpg
184,PATH,finished,1,/Users/sebastian/ue_programowanie/res/images.jpg
185,PATH,finished,1,/Users/sebastian/ue_programowanie/res/images.jpg
186,PATH,finished,1,/Users/sebastian/ue_programowanie/res/images.jpg
187,PATH,finished,1,/Users/sebastian/ue_programowanie/res/images.jpg
188,PATH,finished,1,/Users/sebastian/ue_programowanie/res/images.jpg
189,PATH,finished,1,/Users/sebastian/ue_programowanie/res/images.jpg
190,PATH,finished,1,/Users/sebastian/ue_programowanie/res/images.jpg
191,PATH,finished,1,/Users/sebastian/ue_programowanie/res/images.jpg
192,PATH,finished,1,/Users/sebastian/ue_programowanie/res/images.jpg
193,PATH,finished,1,/Users/sebastian/ue_programowanie/res/images.jpg
194,PATH,finished,1,/Users/sebastian/ue_programowanie/res/images.jpg
195,PATH,finished,1,/Users/sebastian/ue_programowanie/res/images.jpg
196,PATH,in_progress,,/Users/sebastian/ue_programowanie/res/images.jpg
197,PATH,finished,1,/Users/sebastian/ue_programowanie/res/images.jpg
198,PATH,finished,1,/Users/sebastian/ue_programowanie/res/images.jpg
199,PATH,finished,1,/Users/sebastian/ue_programowanie/res/images.jpg
200,PATH,finished,1,/Users/sebastian/ue_programowanie/res/images.jpg
201,PATH,finished,1,/Users/sebastian/ue_programowanie/res/images.jpg
202,PATH,finished,1,/Users/sebastian/ue_programowanie/res/images.jpg
203,PATH,finished,1,/Users/sebastian/ue_programowanie/res/images.jpg
204,PATH,finished,1,/Users/sebastian/ue_programowanie/res/images.jpg
205,PATH,finished,1,/Users/sebastian/ue_programowanie/res/images.jpg
206,PATH,finished,1,/Users/sebastian/ue_programowanie/res/images.jpg
207,PATH,finished,1,/Users/sebastian/ue_programowanie/res/images.jpg
208,PATH,finished,1,/Users/sebastian/ue_programowanie/res/images.jpg
209,PATH,finished,1,/Users/sebastian/ue_programowanie/res/images.jpg
210,PATH,finished,1,/Users/sebastian/ue_programowanie/res/images.jpg
211,PATH,finished,1,/Users/sebastian/ue_programowanie/res/images.jpg
212,PATH,finished,1,/Users/sebastian/ue_programowanie/res/images.jpg
213,PATH,finished,1,/Users/sebastian/ue_programowanie/res/images.jpg
214,PATH,finished,1,/Users/sebastian/ue_programowanie/res/images.jpg
215,PATH,finished,1,/Users/sebastian/ue_programowanie/res/images.jpg
216,PATH,finished,1,/Users/sebastian/ue_programowanie/res/images.jpg
217,PATH,finished,1,/Users/sebastian/ue_programowanie/res/images.jpg
218,PATH,finished,1,/Users/sebastian/ue_programowanie/res/images.jpg
219,PATH,finished,1,/Users/sebastian/ue_programowanie/res/images.jpg
220,PATH,in_progress,,/Users/sebastian/ue_programowanie/res/images.jpg
221,PATH,finished,1,/Users/sebastian/ue_programowanie/res/images.jpg
222,PATH,finished,1,/Users/sebastian/ue_programowanie/res/images.jpg
223,PATH,finished,1,/Users/sebastian/ue_programowanie/res/images.jpg
224,PATH,finished,1,/Users/sebastian/ue_programowanie/res/images.jpg
225,PATH,finished,1,/Users/sebastian/ue_programowanie/res/images.jpg
226,PATH,finished,1,/Users/sebastian/ue_programowanie/res/images.jpg
227,PATH,in_progress,,/Users/sebastian/ue_programowanie/res/images.jpg
228,PATH,finished,1,/Users/sebastian/ue_programowanie/res/images.jpg
229,PATH,finished,1,/Users/sebastian/ue_programowanie/res/images.jpg
230,PATH,finished,1,/Users/sebastian/ue_programowanie/res/images.jpg
231,PATH,finished,1,/Users/sebastian/ue_programowanie/res/images.jpg
232,PATH,finished,1,/Users/sebastian/ue_programowanie/res/images.jpg
